time_s,voltage_v,current_a,ah,soc
300.0190023332834,4.1703,-0.14454,0.02717,0.000804051619446744
360.0220061838627,4.16644,-0.14454,0.02475,0.001611439552667071
420.02000100910664,4.16386,-0.14536,0.02234,0.002415491172113926
480.02100326120853,4.16129,-0.14454,0.01992,0.003222879105334142
540.0250028818846,4.15872,-0.14536,0.01751,0.004026930724780775
600.0220019370317,4.15679,-0.14536,0.01509,0.004834318658001213
660.0180052220821,4.15486,-0.14536,0.01267,0.00564170659122154
720.0209990143776,4.15292,-0.14454,0.01026,0.006445758210668173
780.0229970365763,4.15099,-0.14536,0.00784,0.007253146143888611
840.0180045515299,4.14906,-0.14536,0.00543,0.008057197763335244
900.0240057706833,4.14778,-0.14454,0.00301,0.008864585696555571
960.0269995629787,4.14585,-0.14536,0.0006,0.009668637316002315
1020.0219970196486,4.14392,-0.14454,-0.00182,0.010476025249222642
1080.018000304699,4.14263,-0.14454,-0.00424,0.01128341318244297
1140.0210041552782,4.14134,-0.14454,-0.00665,0.012087464801889714
1200.0200048089027,4.13941,-0.14536,-0.00907,0.01289485273511004
1260.0240044295788,4.13813,-0.14536,-0.01148,0.013698904354556896
1320.0190018862486,4.13684,-0.14536,-0.0139,0.014506292287777112
1380.0239972770214,4.13555,-0.14536,-0.01631,0.015310343907223745
1440.0150015950203,4.13427,-0.14536,-0.01873,0.016117731840444183
1500.0250060111284,4.13234,-0.14454,-0.02115,0.01692511977366451
1560.017006099224,4.13105,-0.14454,-0.02356,0.017729171393111143
1620.024998858571,4.13041,-0.14536,-0.02598,0.01853655932633158
1680.0219979137182,4.12912,-0.14536,-0.02839,0.019340610945778214
1740.0250017642975,4.12783,-0.14454,-0.03081,0.02014799887899854
1800.0160060822964,4.12655,-0.14536,-0.03322,0.020952050498445285
1860.0189998745918,4.12526,-0.14536,-0.03564,0.021759438431665612
1920.019006356597,4.12397,-0.14536,-0.03806,0.02256682636488605
1980.0220001488924,4.12269,-0.14536,-0.04047,0.023370877984332683
2040.0200050324202,4.12204,-0.14454,-0.04289,0.02417826591755301
2100.0229988247156,4.12076,-0.14454,-0.0453,0.024982317536999865
2160.016004741192,4.12011,-0.14454,-0.04772,0.02578970547022008
