time_s,voltage_v,current_a,ah,soc
78340.91600216925,2.92679,0.14537,-2.96533,0.9991959483805533
78400.92400498688,2.9551,0.14537,-2.96291,0.9983885604473329
78460.9240014106,2.97891,0.14455,-2.9605,0.9975845088278863
78520.9150057286,3.00014,0.14455,-2.95808,0.9967771208946659
78580.9170037508,3.01944,0.14537,-2.95566,0.9959697329614455
78640.91200120747,3.03681,0.14537,-2.95325,0.9951656813419989
78700.9209997952,3.0529,0.14455,-2.95083,0.9943582934087785
78760.91500148177,3.0677,0.14455,-2.94842,0.9935542417893318
78820.9230042994,3.08121,0.14455,-2.946,0.9927468538561115
78880.92000335455,3.09472,0.14537,-2.94358,0.9919394659228911
78940.91299921274,3.10694,0.14455,-2.94117,0.9911354143034444
79000.92399939895,3.11852,0.14455,-2.93875,0.9903280263702241
79060.9209984541,3.13011,0.14537,-2.93633,0.9895206384370037
79120.91400437057,3.1404,0.14537,-2.93392,0.988716586817557
79180.90900182724,3.15069,0.14537,-2.93151,0.9879125351981103
79240.91599881649,3.16034,0.14455,-2.92909,0.98710514726489
79300.91000050306,3.17,0.14537,-2.92667,0.9862977593316696
79360.92399805784,3.179,0.14455,-2.92425,0.9854903713984492
79420.91700397432,3.18737,0.14455,-2.92184,0.9846863197790026
79480.91100566089,3.19509,0.14455,-2.91943,0.9838822681595559
79540.91399945319,3.20345,0.14455,-2.91701,0.9830748802263355
79600.91500170529,3.21117,0.14455,-2.9146,0.9822708286068889
79660.91699972749,3.21889,0.14537,-2.91217,0.9814601043598948
79720.91800197959,3.22597,0.14455,-2.90976,0.9806560527404481
79780.91200366616,3.23305,0.14455,-2.90735,0.9798520011210015
79840.91900065541,3.23948,0.14537,-2.90493,0.979044613187781
79900.91599971056,3.24592,0.14455,-2.90251,0.9782372252545607
79960.9129987657,3.25299,0.14537,-2.9001,0.9774331736351141
80020.91300524771,3.25878,0.14455,-2.89768,0.9766257857018936
80080.91399744153,3.26522,0.14537,-2.89526,0.9758183977686733
80140.91299809515,3.27101,0.14455,-2.89285,0.9750143461492267
80200.92399828136,3.2768,0.14455,-2.89043,0.9742069582160062
80260.91200523078,3.28195,0.14537,-2.88801,0.9733995702827859
80320.91499902308,3.28774,0.14537,-2.8856,0.9725955186633393
80380.92399761081,3.29288,0.14455,-2.88318,0.9717881307301188
80440.92400409281,3.29803,0.14537,-2.88076,0.9709807427968985
80500.91800577939,3.30318,0.14537,-2.87835,0.9701766911774519
80560.92300117016,3.30833,0.14455,-2.87593,0.9693693032442314
