time_s,voltage_v,current_a,voltage_fit_v
0.0,4.05852,-0.0,4.057869888570685
0.09900000000016007,4.05852,-0.0,4.058595487584564
0.19800000000032014,4.05852,-0.0,4.059016152469997
0.2999999999992724,4.05852,-0.0,4.059260545491056
0.39799999999922875,4.05852,-0.0,4.059388193454132
0.5040000000008149,4.05852,-0.0,4.059456969548846
0.6010000000005675,4.05852,-0.0,4.059482667042841
0.7049999999999272,4.05852,-0.0,4.059487178085845
0.805000000000291,4.05852,-0.0,4.059478286920454
0.8979999999992287,4.05852,-0.0,4.059463173265786
1.004000000000815,4.05852,-0.0,4.059441249223868
1.0979999999999563,4.05852,-0.0,4.059419367041606
1.1970000000001164,4.05852,-0.0,4.0593949257276245
1.3070000000006985,4.05852,-0.0,4.0593668646035095
1.3979999999992287,4.05852,-0.0,4.059343295147707
1.504000000000815,4.05852,-0.0,4.059315684536412
1.59900000000016,4.05852,-0.0,4.0592909239157065
1.7029999999995198,4.05852,-0.0,4.05926388657561
1.8040000000000873,4.05852,-0.0,4.059237747131702
1.8979999999992287,4.05852,-0.0,4.059213549069509
2.004000000000815,4.05852,-0.0,4.059186428716018
2.102999999999156,4.05852,-0.0,4.0591612679608415
2.2019899999995687,4.05852,-0.0,4.059136277299084
2.3070000000006985,4.05852,-0.0,4.059109952422647
2.4060000000008586,4.05852,-0.0,4.059085309987575
2.5010000000002037,4.05852,-0.0,4.059061823610935
2.600000000000364,4.05852,-0.0,4.0590375150148
2.7049999999999272,4.05852,-0.0,4.059011918214038
2.805000000000291,4.05852,-0.0,4.0589877164014005
2.9030000000002474,4.05852,-0.0,4.058964164261676
3.0009900000004563,4.05852,-0.0,4.058940777405401
3.0979999999999563,4.05852,-0.0,4.058917783820484
3.206000000000131,4.05852,-0.0,4.058892370602104
3.302990000000136,4.05852,-0.0,4.0588697133024265
3.3979999999992287,4.05852,-0.0,4.058847669035683
3.5020000000004075,4.05852,-0.0,4.058823708472296
3.59900000000016,4.05852,-0.0,4.0588015192655
3.706000000000131,4.05852,-0.0,4.058777218817828
3.8049900000005437,4.05852,-0.0,4.0587549010228114
3.904000000000451,4.05852,-0.0,4.058732734805181
3.9989999999997963,4.05852,-0.0,4.058711612075533
4.101989999999205,4.05852,-0.0,4.058688872919131
4.200000000000728,4.05852,-0.0,4.058667386899409
4.298999999999069,4.05852,-0.0,4.058645834849557
4.405000000000655,4.05852,-0.0,4.0586229259516164
4.4979999999995925,4.05852,-0.0,4.058602967897075
4.604999999999563,4.05852,-0.0,4.058580167571065
4.701999999999316,4.05852,-0.0,4.058559647019444
4.8070000000006985,4.05852,-0.0,4.0585375924934555
4.903000000000247,4.05852,-0.0,4.058517571488464
5.004000000000815,4.05852,-0.0,4.058496654264564
5.09900000000016,4.05852,-0.0,4.0584771158418285
5.2039999999997235,4.05852,-0.0,4.058455673256605
5.300999999999476,4.05852,-0.0,4.058436005699572
5.402000000000044,4.05852,-0.0,4.058415670301445
5.496999999999389,4.05852,-0.0,4.058396675352258
5.59900000000016,4.05852,-0.0,4.058376422659757
5.704999999999927,4.05852,-0.0,4.058355530315372
5.799989999999525,4.05852,-0.0,4.058336940908741
5.8989999999994325,4.05852,-0.0,4.058317697549586
6.00199000000066,4.05852,-0.0,4.05829782342805
6.105999999999767,4.05852,-0.0,4.058277899175959
6.19800000000032,4.05852,-0.0,4.058260397577197
6.300999999999476,4.05852,-0.0,4.05824093832984
6.406000000000859,4.05852,-0.0,4.058221246921015
6.503000000000611,4.05852,-0.0,4.058203185577102
6.596999999999753,4.05852,-0.0,4.058185800908457
6.700989999999365,4.05852,-0.0,4.058166703122331
6.80199999999968,4.05852,-0.0,4.05814828689894
6.903000000000247,4.05852,-0.0,4.0581300038590005
6.996999999999389,4.05852,-0.0,4.058113105151573
7.095999999999549,4.05852,-0.0,4.058095428889937
7.200000000000728,4.05852,-0.0,4.058076992993829
7.304990000000544,4.05852,-0.0,4.058058518937303
7.404000000000451,4.05852,-0.0,4.058041222626337
7.499990000000253,4.05852,-0.0,4.058024569373123
7.6010000000005675,4.05852,-0.0,4.058007167119421
7.701999999999316,4.05852,-0.0,4.057989890716289
7.800999999999476,4.05852,-0.0,4.057973076025657
7.8989999999994325,4.05852,-0.0,4.057956546983576
8.0049999999992,4.05852,-0.0,4.057938797413997
8.104999999999563,4.05852,-0.0,4.057922174342654
8.20299999999952,4.05852,-0.0,4.057905997645384
8.299999999999272,4.05852,-0.0,4.057890096287129
8.404000000000451,4.05852,-0.0,4.057873168416494
8.501000000000204,4.05852,-0.0,4.057857491993454
8.60399999999936,4.05852,-0.0,4.0578409634592205
8.701999999999316,4.05852,-0.0,4.057825348909049
8.798999999999069,4.05852,-0.0,4.057810000129744
8.899999999999636,4.05852,-0.0,4.057794130159854
9.005999999999403,4.05852,-0.0,4.057777596282278
9.102999999999156,4.05852,-0.0,4.057762574688465
9.197990000000573,4.05852,-0.0,4.057747964117658
9.298999999999069,4.05852,-0.0,4.057732535141565
9.406999999999243,4.05852,-0.0,4.057716160201606
9.504000000000815,4.05852,-0.0,4.057701559547866
9.604999999999563,4.05852,-0.0,4.057686463107254
9.699000000000524,4.05852,-0.0,4.0576725097201845
9.802999999999884,4.05852,-0.0,4.057657179871884
9.802999999999884,4.05852,-0.0,4.057657179871884
9.91598999999951,4.02618,1.3907,4.0266564432799345
10.018000000000029,4.01717,1.43317,4.019479455300207
10.1200000000008,4.01396,1.44542,4.015273664021551
10.215000000000146,4.01267,1.44868,4.012895901367024
10.316999999999098,4.01203,1.4495,4.011309885424769
10.412990000000718,4.01138,1.4495,4.010362516263786
10.513999999999214,4.01138,1.4495,4.00969828220736
10.618000000000393,4.01074,1.4495,4.009226132889791
10.71099999999933,4.01074,1.45032,4.008895070811546
10.813000000000102,4.0101,1.45032,4.008617173321787
10.913000000000466,4.00945,1.4495,4.008407200042475
11.015999999999622,4.00945,1.45032,4.008186677384786
11.119000000000597,4.00945,1.45032,4.007995465182923
11.21099999999933,4.00881,1.4495,4.00785142924765
11.313000000000102,4.00881,1.4495,4.007683417082843
11.415000000000873,4.00817,1.45032,4.007500684286147
11.511000000000422,4.00817,1.4495,4.007361200402968
11.610000000000582,4.00817,1.45032,4.007188867443379
11.709999999999127,4.00752,1.45032,4.007029500471025
11.810999999999694,4.00752,1.45032,4.006871060449604
11.909999999999854,4.00752,1.45032,4.0067176510462685
12.012000000000626,4.00688,1.4495,4.006578947367887
12.109000000000378,4.00688,1.45032,4.00641773362662
12.219999999999345,4.00688,1.45032,4.00624869805147
12.317999999999302,4.00688,1.45032,4.006101290549512
12.417999999999665,4.00624,1.45032,4.0059523369220145
12.516999999999825,4.00624,1.45032,4.005806152467771
12.61700000000019,4.00624,1.4495,4.005677322161452
12.715000000000146,4.00559,1.45032,4.005521129536312
12.819999999999709,4.00559,1.45032,4.005368026582501
12.915000000000873,4.00559,1.4495,4.0052484962610615
13.019000000000233,4.00559,1.45032,4.005086297805449
13.111989999999423,4.00495,1.45032,4.004953323653178
13.21600000000035,4.00495,1.45032,4.004806370086341
13.30999999999949,4.00495,1.45032,4.00467489537187
13.411000000000058,4.00431,1.4495,4.004552554887462
13.51300000000083,4.00431,1.45032,4.004398472959268
13.61700000000019,4.00431,1.4495,4.004272870012077
13.709999999999127,4.00431,1.4495,4.004149688721149
13.80999999999949,4.00431,1.4495,4.004017057385945
