pulse_id,start_idx,end_idx,rest_before_start_idx,rest_before_end_idx,rest_after_start_idx,rest_after_end_idx,current_level,duration_s,soc_est
1,1944,2044,202,1943,2045,3786,2.899,9.895992999999862,0.04666551724137924
2,3787,3887,2045,3786,3888,5629,5.79882,9.901001999999608,0.05088965517241362
3,5630,5730,3888,5629,5731,7472,11.59927,9.899996999999985,0.05927586206896551
4,7473,7573,5731,7472,7574,7735,17.3989,9.904994999999872,0.07338275862068955
5,7736,7836,7574,7735,7837,9578,1.45032,9.89999699999953,0.09457241379310344
6,9579,9679,7837,9578,9680,11421,2.89982,9.903999000000113,0.09666551724137917
7,11422,11522,9680,11421,11523,13264,5.79963,9.896999000000505,0.10088965517241366
8,13265,13365,11523,13264,13366,15107,11.60008,9.90599999999904,0.1092689655172413
9,15108,15208,13366,15107,15209,15370,17.3989,9.897989999999481,0.12332758620689643
10,15371,15471,15209,15370,15472,17213,1.45032,9.904000000000451,0.14457241379310348
11,17214,17314,15472,17213,17315,19056,2.899,9.904990000002726,0.14668275862068958
12,19057,19157,17315,19056,19158,20899,5.79963,9.900000000001455,0.15087586206896542
13,20900,21000,19158,20899,21001,22742,11.60008,9.907999999999447,0.1593724137931033
14,22743,22843,21001,22742,22844,23005,17.3989,9.90599999999904,0.17333103448275855
15,23006,23106,22844,23005,23107,24848,1.4495,9.90599999999904,0.24456896551724117
16,24849,24949,23107,24848,24950,26691,2.899,9.894000000000233,0.2466655172413792
17,26692,26792,24950,26691,26793,28534,5.79963,9.895999999997002,0.2508896551724137
18,28535,28635,26793,28534,28636,30377,11.59927,9.899000000001251,0.25927586206896536
19,30378,30478,28636,30377,30479,30640,17.39972,9.900000000001455,0.27337931034482754
20,30641,30741,30479,30640,30742,32483,1.4495,9.894000000000233,0.34456896551724125
21,32484,32584,30742,32483,32585,34326,2.899,9.90599999999904,0.3466655172413793
22,34327,34427,32585,34326,34428,36169,5.79882,9.901000000005297,0.3508827586206896
23,36170,36270,34428,36169,36271,38012,11.59927,9.89998999999807,0.3592724137931034
24,38013,38113,36271,38012,38114,38275,17.39972,9.89900000000489,0.3732344827586206
25,38276,38376,38114,38275,38377,40118,1.4495,9.898010000004433,0.4445758620689654
26,40119,40219,38377,40118,40220,41961,2.899,9.906000000002678,0.4466724137931034
27,41962,42062,40220,41961,42063,43804,5.79963,9.900009999997565,0.4508689655172413
28,43805,43905,42063,43804,43906,45647,11.59927,9.903010000001814,0.45924827586206896
29,45648,45748,43906,45647,45749,45910,17.39972,9.89900000000489,0.4731931034482758
30,45911,46011,45749,45910,46012,47753,1.45032,9.9120000000039,0.5445758620689655
31,47754,47854,46012,47753,47855,49596,2.89982,9.902000000001863,0.5466689655172413
32,49597,49697,47855,49596,49698,51439,5.79963,9.902000000001863,0.5508931034482758
33,51440,51540,49698,51439,51541,53282,11.59927,9.899990000005346,0.5592793103448275
34,53283,53383,51541,53282,53384,53545,17.3989,9.89998999999807,0.5732103448275861
35,53546,53646,53384,53545,53647,55388,1.4495,9.902000000001863,0.6445758620689654
36,55389,55489,53647,55388,55490,57231,2.899,9.897000000004482,0.6466758620689654
37,57232,57332,55490,57231,57333,59074,5.79963,9.901999999994587,0.6508689655172413
38,59075,59175,57333,59074,59176,60917,11.60008,9.901999999994587,0.6592620689655171
39,60918,61018,59176,60917,61019,61180,17.39972,9.910000000003492,0.673203448275862
40,61181,61281,61019,61180,61282,63023,1.4495,9.906000000002678,0.7445724137931033
41,63024,63124,61282,63023,63125,64866,2.899,9.902999999998428,0.7466689655172413
42,64867,64967,63125,64866,64968,66709,5.79963,9.898000000001048,0.7508896551724138
43,66710,66810,64968,66709,66811,68552,11.60008,9.902999999998428,0.7592793103448275
44,68553,68653,66811,68552,68654,68815,17.39972,9.901000000005297,0.7732137931034483
45,68816,68916,68654,68815,68917,70658,1.4495,9.900009999997565,0.7945689655172413
46,70659,70759,68917,70658,70760,72501,2.89982,9.903000000005704,0.7966655172413792
47,72502,72602,70760,72501,72603,74344,5.79963,9.898000000001048,0.8008896551724138
48,74345,74445,72603,74344,74446,76187,11.59927,9.910999999992782,0.8092827586206897
49,76188,76288,74446,76187,76289,76450,17.3989,9.898000000001048,0.8233827586206895
50,76451,76551,76289,76450,76552,78293,1.45032,9.900000000008731,0.8445758620689655
51,78294,78394,76552,78293,78395,80136,2.899,9.902000000001863,0.8466724137931034
52,80137,80237,78395,80136,80238,81979,5.79882,9.902999999991152,0.8508896551724138
53,81980,82080,80238,81979,82081,83822,11.59927,9.905010000002221,0.8592724137931034
54,83823,83923,82081,83822,83924,84085,17.39972,9.895009999992908,0.8732310344827585
55,84086,84186,83924,84085,84187,85928,1.45032,9.903000000005704,0.8945724137931034
56,85929,86029,84187,85928,86030,87771,2.89982,9.902999999991152,0.8966965517241379
57,87772,87872,86030,87771,87873,89614,5.79882,9.900999999998021,0.9008965517241379
58,89615,89715,87873,89614,89716,91457,11.59927,9.899990000005346,0.9092862068965516
59,93311,93411,91467,93310,93412,95153,1.4495,9.904999999998836,0.9445758620689655
60,95154,95254,93412,95153,95255,96996,2.899,9.910000000003492,0.9466724137931034
61,96997,97097,95255,96996,97098,98839,5.79963,9.903000000005704,0.9508689655172414
62,99018,99118,98856,99017,99119,100860,1.45032,9.90700000000652,0.9945724137931035
63,100861,100961,99119,100860,100962,102703,2.89982,9.911000000007334,0.9966689655172413
64,102704,102738,100962,102703,102739,102799,5.79963,3.3260000000009313,0.999051724137931
