time_s,voltage_v,current_a_raw,ah,temperature_c,current_a,dt_s,soc_est
0.0,4.17497,0.0,0.0,25.6307,-0.0,0.0,0.04386206896551714
0.102001056,4.17497,0.0,0.0,25.6307,-0.0,0.102001056,0.04386206896551714
0.197997317,4.17497,0.0,0.0,25.64191,-0.0,0.095996261,0.04386206896551714
0.302995741,4.17497,0.0,0.0,25.64191,-0.0,0.10499842399999998,0.04386206896551714
0.397000462,4.17497,0.0,0.0,25.64191,-0.0,0.09400472100000001,0.04386206896551714
0.504996255,4.17497,0.0,0.0,25.6307,-0.0,0.107995793,0.04386206896551714
0.602994114,4.17497,0.0,0.0,25.6307,-0.0,0.09799785900000002,0.04386206896551714
0.7039994,4.17497,0.0,0.0,25.6307,-0.0,0.10100528600000003,0.04386206896551714
0.803003088,4.17497,0.0,0.0,25.6307,-0.0,0.09900368799999992,0.04386206896551714
0.903002545,4.17497,0.0,0.0,25.6307,-0.0,0.09999945700000001,0.04386206896551714
1.005003601,4.17497,0.0,0.0,25.6307,-0.0,0.10200105600000009,0.04386206896551714
1.101995632,4.17497,0.0,0.0,25.6307,-0.0,0.09699203099999987,0.04386206896551714
1.20099932,4.17497,0.0,0.0,25.6307,-0.0,0.09900368800000003,0.04386206896551714
1.29699558,4.17497,0.0,0.0,25.6307,-0.0,0.09599625999999994,0.04386206896551714
1.403995603,4.17497,0.0,0.0,25.64191,-0.0,0.10700002300000011,0.04386206896551714
1.500997692,4.17497,0.0,0.0,25.64191,-0.0,0.09700208900000007,0.04386206896551714
1.603994519,4.17497,0.0,0.0,25.64191,-0.0,0.1029968269999999,0.04386206896551714
1.697999239,4.17497,0.0,0.0,25.6307,-0.0,0.09400472000000004,0.04386206896551714
1.802001894,4.17497,0.0,0.0,25.6307,-0.0,0.10400265499999994,0.04386206896551714
1.900995523,4.17497,0.0,0.0,25.64191,-0.0,0.09899362899999997,0.04386206896551714
1.997001842,4.17497,0.0,0.0,25.64191,-0.0,0.096006319,0.04386206896551714
2.102996036,4.17497,0.0,0.0,25.6307,-0.0,0.10599419399999999,0.04386206896551714
2.199002355,4.17497,0.0,0.0,25.6307,-0.0,0.09600631900000023,0.04386206896551714
2.301999182,4.17497,0.0,0.0,25.6307,-0.0,0.10299682699999968,0.04386206896551714
2.404000238,4.17497,0.0,0.0,25.6307,-0.0,0.1020010560000002,0.04386206896551714
2.503999695,4.17497,0.0,0.0,25.6307,-0.0,0.09999945700000001,0.04386206896551714
2.604994923,4.17497,0.0,0.0,25.6307,-0.0,0.10099522799999994,0.04386206896551714
2.70399861,4.17497,0.0,0.0,25.6307,-0.0,0.09900368700000017,0.04386206896551714
2.803998068,4.17497,0.0,0.0,25.64191,-0.0,0.09999945799999965,0.04386206896551714
2.901995927,4.17497,0.0,0.0,25.64191,-0.0,0.09799785900000035,0.04386206896551714
2.999993786,4.17497,0.0,0.0,25.64191,-0.0,0.09799785899999991,0.04386206896551714
3.098997474,4.17497,0.0,0.0,25.6307,-0.0,0.09900368799999981,0.04386206896551714
3.205997497,4.17497,0.0,0.0,25.6307,-0.0,0.10700002299999989,0.04386206896551714
3.300997987,4.17497,0.0,0.0,25.6307,-0.0,0.09500049000000033,0.04386206896551714
3.405000642,4.17497,0.0,0.0,25.6307,-0.0,0.10400265499999994,0.04386206896551714
3.503994271,4.17497,0.0,0.0,25.6307,-0.0,0.09899362899999975,0.04386206896551714
3.60099636,4.17497,0.0,0.0,25.6307,-0.0,0.09700208900000007,0.04386206896551714
3.704999015,4.17497,0.0,0.0,25.6307,-0.0,0.10400265499999994,0.04386206896551714
3.804998472,4.17497,0.0,0.0,25.6307,-0.0,0.09999945700000001,0.04386206896551714
3.900994733,4.17497,0.0,0.0,25.6307,-0.0,0.09599626100000025,0.04386206896551714
4.004001617,4.17497,0.0,0.0,25.6307,-0.0,0.10300688400000002,0.04386206896551714
4.09700051,4.17497,0.0,0.0,25.6307,-0.0,0.09299889299999986,0.04386206896551714
4.199997336,4.17497,0.0,0.0,25.6307,-0.0,0.10299682600000004,0.04386206896551714
4.296999425,4.17497,0.0,0.0,25.6307,-0.0,0.09700208900000007,0.04386206896551714
4.403003678,4.17497,0.0,0.0,25.6307,-0.0,0.10600425300000005,0.04386206896551714
4.501001537,4.17497,0.0,0.0,25.6307,-0.0,0.09799785899999947,0.04386206896551714
4.603998363,4.17497,0.0,0.0,25.6307,-0.0,0.10299682600000004,0.04386206896551714
4.701996222,4.17497,0.0,0.0,25.6307,-0.0,0.09799785900000035,0.04386206896551714
4.80199568,4.17497,0.0,0.0,25.6307,-0.0,0.0999994580000001,0.04386206896551714
4.898997769,4.17497,0.0,0.0,25.6307,-0.0,0.09700208900000007,0.04386206896551714
5.001994595,4.17497,0.0,0.0,25.6307,-0.0,0.10299682600000004,0.04386206896551714
5.098996684,4.17497,0.0,0.0,25.6307,-0.0,0.09700208900000007,0.04386206896551714
5.198000371,4.17497,0.0,0.0,25.64191,-0.0,0.09900368699999973,0.04386206896551714
5.303994566,4.17497,0.0,0.0,25.64191,-0.0,0.10599419500000007,0.04386206896551714
5.402002484,4.17497,0.0,0.0,25.64191,-0.0,0.09800791799999953,0.04386206896551714
5.498994514,4.17497,0.0,0.0,25.6307,-0.0,0.09699203,0.04386206896551714
5.597998202,4.17497,0.0,0.0,25.6307,-0.0,0.0990036880000007,0.04386206896551714
5.702996626,4.17497,0.0,0.0,25.6307,-0.0,0.1049984239999997,0.04386206896551714
5.799002945,4.17497,0.0,0.0,25.6307,-0.0,0.09600631899999978,0.04386206896551714
5.899002403,4.17497,0.0,0.0,25.6307,-0.0,0.0999994580000001,0.04386206896551714
6.006002426,4.17497,0.0,0.0,25.64191,-0.0,0.10700002300000033,0.04386206896551714
6.106001884,4.17497,0.0,0.0,25.64191,-0.0,0.0999994580000001,0.04386206896551714
6.197994947,4.17497,0.0,0.0,25.6307,-0.0,0.09199306299999943,0.04386206896551714
6.299996004,4.17497,0.0,0.0,25.6307,-0.0,0.10200105699999984,0.04386206896551714
6.399995461,4.17497,0.0,0.0,25.6307,-0.0,0.09999945700000001,0.04386206896551714
6.505003944,4.17497,0.0,0.0,25.6307,-0.0,0.10500848300000065,0.04386206896551714
6.601995975,4.17497,0.0,0.0,25.6307,-0.0,0.09699203100000009,0.04386206896551714
6.700999662,4.17497,0.0,0.0,25.6307,-0.0,0.09900368699999973,0.04386206896551714
6.805002317,4.17497,0.0,0.0,25.6307,-0.0,0.1040026549999995,0.04386206896551714
6.901994348,4.17497,0.0,0.0,25.6307,-0.0,0.09699203100000009,0.04386206896551714
6.996994838,4.17497,0.0,0.0,25.6307,-0.0,0.09500049000000033,0.04386206896551714
7.100001723,4.17497,0.0,0.0,25.6307,-0.0,0.1030068850000001,0.04386206896551714
7.197999582,4.17497,0.0,0.0,25.6307,-0.0,0.09799785899999947,0.04386206896551714
7.303993776,4.17497,0.0,0.0,25.6307,-0.0,0.10599419400000087,0.04386206896551714
7.402001694,4.17497,0.0,0.0,25.6307,-0.0,0.09800791799999953,0.04386206896551714
7.497002184,4.17497,0.0,0.0,25.6307,-0.0,0.09500049000000033,0.04386206896551714
7.597997412,4.17497,0.0,0.0,25.6307,-0.0,0.10099522799999949,0.04386206896551714
7.702000067,4.17497,0.0,0.0,25.6307,-0.0,0.10400265500000039,0.04386206896551714
7.800993696,4.17497,0.0,0.0,25.6307,-0.0,0.09899362899999975,0.04386206896551714
7.899001613,4.17497,0.0,0.0,25.6307,-0.0,0.09800791700000033,0.04386206896551714
7.996999472,4.17497,0.0,0.0,25.6307,-0.0,0.09799785899999947,0.04386206896551714
8.09699893,4.17497,0.0,0.0,25.6307,-0.0,0.0999994580000001,0.04386206896551714
8.206000552,4.17497,0.0,0.0,25.6307,-0.0,0.10900162200000096,0.04386206896551714
8.296997845,4.17497,0.0,0.0,25.6307,-0.0,0.09099729299999915,0.04386206896551714
8.396997303,4.17497,0.0,0.0,25.6307,-0.0,0.09999945799999921,0.04386206896551714
