pulse_id,time_s,current_a,voltage_measured_v,voltage_fitted_v,error_v
27,0.0,0.0,3.77092,3.6566323504265466,-0.11428764957345328
27,1.0020000000004075,0.0,3.77092,3.6566323504265466,-0.11428764957345328
27,1.995999999999185,0.0,3.77092,3.6566323504265466,-0.11428764957345328
27,3.0020000000004075,0.0,3.77092,3.6566323504265466,-0.11428764957345328
27,4.0,0.0,3.77092,3.6566323504265466,-0.11428764957345328
27,4.9979999999995925,0.0,3.77092,3.6566323504265466,-0.11428764957345328
27,6.004000000000815,0.0,3.77092,3.6566323504265466,-0.11428764957345328
27,6.004000000000815,0.0,3.77092,3.6566323504265466,-0.11428764957345328
27,6.114999999997963,-2.88757,3.71029,3.595172105035651,-0.11511789496434899
27,6.218000000000757,-2.89573,3.69228,3.5844947771606788,-0.10778522283932102
27,6.309999999997672,-2.89818,3.68584,3.5795618061029564,-0.1062781938970434
27,6.417000000001281,-2.899,3.68327,3.576520613612766,-0.10674938638723397
27,6.519999999996799,-2.89982,3.68198,3.5749371474010982,-0.10704285259890156
27,6.610000000000582,-2.89982,3.68069,3.5741019912779874,-0.10658800872201235
27,6.709999999999127,-2.89982,3.68005,3.573474354186438,-0.10657564581356205
27,6.811000000001513,-2.899,3.67941,3.5730250733651348,-0.1063849266348651
27,6.913999999997031,-2.899,3.67876,3.572642951927967,-0.10611704807203282
27,7.016999999999825,-2.899,3.67748,3.5723087532449007,-0.10517124675509937
27,7.1120000000009895,-2.89982,3.67748,3.572009052865298,-0.10547094713470218
27,7.2129999999961,-2.899,3.67683,3.571739680827662,-0.10509031917233802
27,7.319999999999709,-2.899,3.67619,3.5714559936624575,-0.1047340063375426
27,7.419999999998254,-2.899,3.67555,3.5712012313903747,-0.10434876860962516
27,7.516999999999825,-2.89982,3.6749,3.570945900985687,-0.10395409901431307
27,7.618999999998778,-2.899,3.67426,3.5707175349615157,-0.10354246503848419
27,7.711999999999534,-2.899,3.67362,3.570505423142071,-0.10311457685792913
27,7.813999999998487,-2.899,3.67362,3.5702796672853574,-0.10334033271464271
27,7.91298999999708,-2.899,3.67297,3.570067556890702,-0.10290244310929797
27,8.012000000002445,-2.899,3.67233,3.5698622184211466,-0.1024677815788535
27,8.10899999999674,-2.89982,3.67233,3.5696506586118817,-0.1026793413881184
27,8.210999999995693,-2.89982,3.67169,3.569449382568801,-0.10224061743119872
27,8.313999999998487,-2.899,3.67104,3.56927167619968,-0.10176832380032019
27,8.415000000000873,-2.899,3.6704,3.5690909226873946,-0.1013090773126053
27,8.515999999995984,-2.899,3.6704,3.5689151434560777,-0.10148485654392214
27,8.614000000001397,-2.899,3.66976,3.5687497082396966,-0.10101029176030352
27,8.718000000000757,-2.89982,3.66911,3.5685625943384753,-0.10054740566152454
27,8.809999999997672,-2.899,3.66911,3.5684307754776707,-0.10067922452232914
27,8.913990000000922,-2.89982,3.66847,3.5682560909203187,-0.10021390907968142
27,9.016999999999825,-2.89982,3.66847,3.568101421695767,-0.10036857830423296
27,9.112999999997555,-2.899,3.66783,3.5679798106896317,-0.09985018931036826
27,9.210999999995693,-2.899,3.66783,3.567846716182535,-0.09998328381746502
27,9.310989999998128,-2.899,3.66718,3.567714147367757,-0.09946585263224295
27,9.413000000000466,-2.899,3.66718,3.567582798801797,-0.09959720119820314
27,9.517990000000282,-2.899,3.66654,3.567451928855838,-0.09908807114416174
27,9.610000000000582,-2.899,3.66654,3.567340856558469,-0.09919914344153069
27,9.709999999999127,-2.899,3.6659,3.5672239170881426,-0.09867608291185759
27,9.817999999999302,-2.89982,3.66525,3.567084606471667,-0.09816539352833287
27,9.911999999996624,-2.899,3.66525,3.5669958513431466,-0.09825414865685334
27,10.01299999999901,-2.89982,3.66461,3.566873819944177,-0.09773618005582296
27,10.112999999997555,-2.89982,3.66461,3.5667693941040537,-0.09784060589594645
27,10.218000000000757,-2.89982,3.66461,3.566664578084023,-0.097945421915977
27,10.315000000002328,-2.89982,3.66397,3.5665714870087895,-0.0973985129912105
27,10.413999999997031,-2.89982,3.66397,3.566479807421029,-0.09749019257897107
27,10.515999999995984,-2.89982,3.66332,3.5663886256227446,-0.09693137437725552
27,10.61200000000099,-2.89982,3.66332,3.566305686159012,-0.09701431384098802
27,10.71600000000035,-2.899,3.66268,3.566236011540437,-0.09644398845956292
27,10.817999999999302,-2.899,3.66268,3.5661568774821237,-0.0965231225178762
27,10.919000000001688,-2.899,3.66268,3.566079745248599,-0.09660025475140088
27,11.013999999995576,-2.899,3.66204,3.5660089212897637,-0.09603107871023653
27,11.114999999997963,-2.89982,3.66204,3.5659187032952904,-0.09612129670470981
27,11.218000000000757,-2.899,3.66139,3.5658603477107564,-0.09552965228924348
27,11.310989999998128,-2.899,3.66139,3.565798586096916,-0.09559141390308401
27,11.413999999997031,-2.899,3.66075,3.5657316090944557,-0.09501839090554443
27,11.515999999995984,-2.899,3.66075,3.565667139552747,-0.09508286044725311
27,11.614000000001397,-2.899,3.66011,3.5656070688033137,-0.09450293119668629
27,11.7129999999961,-2.899,3.66011,3.565548278287144,-0.09456172171285582
27,11.814989999998943,-2.899,3.65946,3.5654896846002884,-0.09397031539971179
27,11.915000000000873,-2.89982,3.65946,3.56541713882169,-0.09404286117830996
27,12.014999999999418,-2.89982,3.65946,3.565360272854049,-0.09409972714595094
27,12.118000000002212,-2.89982,3.65882,3.5653051645798626,-0.09351483542013739
27,12.214999999996508,-2.899,3.65882,3.565272531521227,-0.09354746847877315
27,12.31699999999546,-2.89982,3.65818,3.5652087384190185,-0.09297126158098168
27,12.409999999996217,-2.899,3.65818,3.565180066755311,-0.09299993324468936
27,12.512000000002445,-2.899,3.65818,3.56513609300685,-0.09304390699315013
27,12.614999999997963,-2.899,3.65753,3.5650920486981406,-0.09243795130185939
27,12.718000000000757,-2.89982,3.65753,3.5650318287059615,-0.09249817129403848
27,12.81699999999546,-2.899,3.65689,3.5650054185042643,-0.09188458149573586
27,12.915000000000873,-2.899,3.65689,3.564968280890441,-0.09192171910955915
27,13.012000000002445,-2.899,3.65689,3.5649319322117896,-0.09195806778821058
27,13.112999999997555,-2.899,3.65625,3.564894917335358,-0.09135508266464187
27,13.209999999999127,-2.89982,3.65625,3.564843479671489,-0.09140652032851104
27,13.313999999998487,-2.899,3.65625,3.5648213965942532,-0.09142860340574677
27,13.415000000000873,-2.899,3.6556,3.564789108394343,-0.09081089160565714
27,13.51299999999901,-2.899,3.6556,3.5647581129142853,-0.09084188708571483
27,13.614990000001853,-2.89982,3.6556,3.5647094869798024,-0.0908905130201978
27,13.7129999999961,-2.899,3.65496,3.5646938444395904,-0.09026615556040962
27,13.815999999998894,-2.899,3.65496,3.5646654265029083,-0.09029457349709169
27,13.917999999997846,-2.899,3.65496,3.564637426192875,-0.09032257380712494
27,14.01698999999644,-2.899,3.65432,3.5646107798988753,-0.08970922010112448
27,14.111989999997604,-2.899,3.65432,3.5645858571099756,-0.08973414289002424
27,14.2129999999961,-2.899,3.65432,3.5645601262873496,-0.08975987371265015
27,14.317999999999302,-2.89982,3.65367,3.564517036528627,-0.0891529634713728
27,14.409999999996217,-2.89982,3.65367,3.5644922080444146,-0.0891777919555854
27,14.51299999999901,-2.899,3.65367,3.5644838578342624,-0.08918614216573761
27,14.618999999998778,-2.899,3.65303,3.564462544417067,-0.08856745558293344
27,14.718999999997322,-2.899,3.65303,3.564442058082476,-0.0885879419175244
27,14.809999999997672,-2.899,3.65303,3.5644235619849005,-0.08860643801509971
27,14.913000000000466,-2.89982,3.65303,3.564385923690758,-0.08864407630924243
27,15.017990000000282,-2.89982,3.65239,3.5643623997962206,-0.08802760020377942
27,15.12199999999575,-2.89982,3.65239,3.5643413246651448,-0.08804867533485528
27,15.211999999999534,-2.89982,3.65239,3.5643242382945095,-0.08806576170549052
27,15.318999999995867,-2.899,3.65174,3.564322211927027,-0.0874177880729734
27,15.415999999997439,-2.899,3.65174,3.5643083916961675,-0.08743160830383268
27,15.517999999996391,-2.89982,3.65174,3.5642759346205977,-0.08746406537940254
27,15.609989999997197,-2.89982,3.6511,3.564258995618827,-0.08684100438117293
27,15.710999999995693,-2.89982,3.6511,3.564242103016018,-0.08685789698398194
27,15.81199999999808,-2.89982,3.6511,3.564226362019995,-0.08687363798000503
27,15.917999999997846,-2.89982,3.6511,3.5642107131892997,-0.0868892868107003
27,16.010000000002037,-2.89982,3.65046,3.5641977024096163,-0.08626229759038351
27,16.02100000000064,-2.899,3.65046,3.5642078129091055,-0.08625218709089433
27,16.12999999999738,0.0,3.70401,3.6256154080055665,-0.07839459199443333
27,16.235999999997148,0.0,3.72589,3.6365108692011328,-0.08937913079886739
27,16.330000000001746,0.0,3.73232,3.6414180650579593,-0.0909019349420408
27,16.42899999999645,0.0,3.73489,3.6441989254363176,-0.09069107456368242
27,16.529999999998836,0.0,3.73618,3.6457640002544607,-0.09041599974553938
27,16.633999999998196,0.0,3.73682,3.6467123644681756,-0.09010763553182422
27,16.726999999998952,0.0,3.73747,3.6472740280731517,-0.09019597192684836
27,16.82998999999836,0.0,3.73811,3.647735392330454,-0.09037460766954597
27,16.927999999999884,0.0,3.73811,3.648091094003331,-0.09001890599666895
27,17.02599999999802,0.0,3.73811,3.6484021181754787,-0.08970788182452116
27,17.127000000000407,0.0,3.73875,3.6486948753167896,-0.09005512468321042
27,17.233000000000175,0.0,3.7394,3.648982400488331,-0.09041759951166872
27,17.330999999998312,0.0,3.7394,3.6492351519213413,-0.09016484807865854
27,17.427999999999884,0.0,3.7394,3.649475333100455,-0.08992466689954481
27,17.53299999999581,0.0,3.74004,3.649725562596847,-0.09031443740315304
27,17.62898999999743,0.0,3.74004,3.6499462156764704,-0.09009378432352966
27,17.730999999999767,0.0,3.74068,3.650172759737044,-0.09050724026295587
27,17.830990000002203,0.0,3.74068,3.6503872544052016,-0.09029274559479816
27,17.936000000001513,0.0,3.74068,3.650604796234064,-0.09007520376593581
27,18.03299999999581,0.0,3.74133,3.650798979466845,-0.0905310205331551
27,18.133999999998196,0.0,3.74133,3.6509945121997824,-0.0903354878002176
27,18.231999999996333,0.0,3.74133,3.651177963569076,-0.09015203643092384
27,18.326999999997497,0.0,3.74197,3.6513500961403955,-0.09061990385960428
