pulse_id,pulse_start_idx,pulse_end_idx,window_start_idx,window_end_idx,time_start_s,time_end_s,pulse_duration_s,current_mean_a,current_abs_mean_a,soc_test,soc_group_id
1,101,202,93,227,10.01099981,20.03199756,10.020997750000001,-1.4489596039603962,1.4489596039603962,1.0,1
2,1944,2045,1936,2070,1220.050001,1230.051998,10.001996999999847,-2.899235940594058,2.899235940594058,1.0,1
3,3787,3888,3779,3913,2430.073995,2440.088002,10.014006999999765,-5.799649801980197,5.799649801980197,1.0,1
4,5630,5731,5622,5756,3640.109998,3650.113998,10.003999999999905,-11.599542475247523,11.599542475247523,1.0,1
5,7473,7574,7465,7599,4850.141999,4861.058003,10.916003999999703,-17.39921643564356,17.39921643564356,1.0,1
6,7736,7837,7728,7862,6878.192998,6888.206995,10.013996999999108,-1.4490650495049509,1.4490650495049509,1.0,2
7,9579,9680,9571,9705,8088.239,8098.252997,10.013997000000018,-2.899227920792079,2.899227920792079,1.0,2
8,11422,11523,11414,11548,9298.276995,9308.280994,10.003999000000476,-5.799761683168316,5.799761683168316,1.0,2
9,13265,13366,13257,13391,10508.305,10518.316,10.011000000000422,-11.59974306930693,11.59974306930693,1.0,2
10,15108,15209,15100,15234,11718.34,11729.249,10.90899999999965,-17.39928148514851,17.39928148514851,1.0,2
11,15371,15472,15363,15497,15546.80899,15556.82699,10.018000000000029,-1.4491298019801984,1.4491298019801984,1.0,3
12,17214,17315,17206,17340,16756.852,16766.87099,10.018990000000485,-2.89924405940594,2.89924405940594,1.0,3
13,19057,19158,19049,19183,17966.893,17976.898,10.005000000001019,-5.799738019801979,5.799738019801979,1.0,3
14,20900,21001,20892,21026,19176.926,19186.941,10.014999999999418,-11.599791188118811,11.599791188118811,1.0,3
15,22743,22844,22735,22869,20386.962,20397.877,10.915000000000873,-17.399240891089104,17.399240891089104,1.0,3
16,23006,23107,22998,23132,23016.077,23026.095,10.018000000000029,-1.4488702970297032,1.4488702970297032,1.0,4
17,24849,24950,24841,24975,24226.114,24236.11899,10.004989999997633,-2.899325247524751,2.899325247524751,1.0,4
18,26692,26793,26684,26818,25436.151,25446.154,10.002999999996973,-5.79977,5.79977,1.0,4
19,28535,28636,28527,28661,26646.18,26656.193,10.01299999999901,-11.599646831683168,11.599646831683168,1.0,4
20,30378,30479,30370,30504,27856.224,27867.133,10.909000000003289,-17.399435742574255,17.399435742574255,1.0,4
21,30641,30742,30633,30767,30484.583,30494.582,9.998999999999796,-1.4489840594059409,1.4489840594059409,1.0,5
22,32484,32585,32476,32610,31694.606,31704.619,10.01299999999901,-2.899276534653465,2.899276534653465,1.0,5
23,34327,34428,34319,34453,32904.645,32914.65499,10.009990000005928,-5.799617920792078,5.799617920792078,1.0,5
24,36170,36271,36162,36296,34114.68,34124.695,10.014999999999418,-11.599662871287128,11.599662871287128,1.0,5
25,38013,38114,38005,38139,35324.721,35335.626,10.904999999998836,-17.399378910891084,17.399378910891084,1.0,5
