0
[25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.]
"[25.03662234 25.03662588 25.03662795 25.03663028 25.03664009 25.03651681
 25.03647176 25.03647307 25.03649742 25.03650804 25.0366791  25.03666859
 25.03667716 25.03668051 25.03667074]"
"[25.07291572 25.0729221  25.07292736 25.07293246 25.07297458 25.07257417
 25.07249655 25.07249789 25.07254388 25.07255597 25.07307296 25.07304641
 25.07305673 25.07305996 25.07306523]"
"[25.1088421  25.10886251 25.10887185 25.10888125 25.10895368 25.10810225
 25.10801451 25.10802305 25.10808607 25.10808828 25.10913161 25.10910831
 25.10911844 25.10911802 25.10912732]"
"[25.14442955 25.14446125 25.14448094 25.14450009 25.14458439 25.14311047
 25.14303369 25.14305687 25.14313324 25.14311667 25.14488938 25.14486621
 25.14487015 25.14486177 25.1448644 ]"
"[25.1796593  25.17970444 25.17973836 25.17976963 25.17986976 25.17760937
 25.17756535 25.17761152 25.17769594 25.17765127 25.18035102 25.18031638
 25.18030938 25.18028979 25.18028095]"
"[25.21455143 25.21461307 25.21466279 25.2147071  25.214827   25.21161493
 25.21162333 25.21169791 25.21178886 25.21170938 25.21551772 25.21546872
 25.21544905 25.21541636 25.21539399]"
"[25.24910372 25.2491835  25.24925225 25.24931951 25.24945749 25.2451294
 25.24520725 25.24531651 25.24541186 25.24529428 25.2503908  25.25032385
 25.2502911  25.250243   25.25020498]"
"[25.28332114 25.28342261 25.28351287 25.28360134 25.28375986 25.27816747
 25.27830394 25.27844147 25.27853461 25.27839293 25.28497069 25.28488676
 25.28483484 25.28476893 25.28471358]"
"[25.31720814 25.31733361 25.31744786 25.31756    25.31774153 25.31072737
 25.31091199 25.3110741  25.31116746 25.3110174  25.3192632  25.31915908
 25.31908847 25.3190015  25.31892611]"
"[25.35076744 25.35091976 25.35106083 25.35119917 25.35140639 25.34280943
 25.34303445 25.34322415 25.34331844 25.34317201 25.35327116 25.35314537
 25.35305351 25.35294335 25.35284599]"
"[25.38400232 25.38418387 25.38435381 25.38452061 25.38475567 25.37441441
 25.37467385 25.37489154 25.37498995 25.37486443 25.3869966  25.38684678
 25.3867315  25.38659743 25.38647557]"
"[25.41691886 25.41713191 25.41733257 25.41753043 25.41779536 25.40555003
 25.40584652 25.40609442 25.40619989 25.40610763 25.42044376 25.42026907
 25.42012507 25.41996531 25.41981958]"
"[25.44951419 25.4497617  25.44999546 25.45022659 25.45052586 25.4362131
 25.43654376 25.43682264 25.43694036 25.43689873 25.45360979 25.4534083
 25.45323868 25.45304971 25.45287577]"
"[25.48179433 25.48207816 25.48234786 25.48261438 25.48294827 25.46641852
 25.46677729 25.46708758 25.46722154 25.46724641 25.48650194 25.4862714
 25.4860718  25.48585303 25.48564909]"
"[25.51376227 25.51408478 25.51439263 25.51469693 25.51506763 25.4961727
 25.49655897 25.49689864 25.49705136 25.49715867 25.51912066 25.51885859
 25.51863043 25.51837816 25.51814299]"
"[25.54542163 25.54578456 25.54613269 25.54647737 25.54688702 25.52548647
