TimeStamp,Voltage,Current,Ah,Wh,Power,Battery_Temp_degC,Time,Chamber_Temp_degC
3/11/2017 8:47:03 AM,4.17497,0,0,0,0,25.6307,0,25
3/11/2017 8:47:03 AM,4.17497,0,0,0,0,25.6307,0.102001056,25
3/11/2017 8:47:03 AM,4.17497,0,0,0,0,25.64191,0.197997317,25
3/11/2017 8:47:03 AM,4.17497,0,0,0,0,25.64191,0.302995741,25
3/11/2017 8:47:03 AM,4.17497,0,0,0,0,25.64191,0.397000462,25
3/11/2017 8:47:03 AM,4.17497,0,0,0,0,25.6307,0.504996255,25
3/11/2017 8:47:03 AM,4.17497,0,0,0,0,25.6307,0.602994114,25
3/11/2017 8:47:04 AM,4.17497,0,0,0,0,25.6307,0.7039994,25
3/11/2017 8:47:04 AM,4.17497,0,0,0,0,25.6307,0.803003088,25
3/11/2017 8:47:04 AM,4.17497,0,0,0,0,25.6307,0.903002545,25
3/11/2017 8:47:04 AM,4.17497,0,0,0,0,25.6307,1.005003601,25
3/11/2017 8:47:04 AM,4.17497,0,0,0,0,25.6307,1.101995632,25
3/11/2017 8:47:04 AM,4.17497,0,0,0,0,25.6307,1.20099932,25
3/11/2017 8:47:04 AM,4.17497,0,0,0,0,25.6307,1.29699558,25
3/11/2017 8:47:04 AM,4.17497,0,0,0,0,25.64191,1.403995603,25
3/11/2017 8:47:04 AM,4.17497,0,0,0,0,25.64191,1.500997692,25
3/11/2017 8:47:04 AM,4.17497,0,0,0,0,25.64191,1.603994519,25
3/11/2017 8:47:05 AM,4.17497,0,0,0,0,25.6307,1.697999239,25
3/11/2017 8:47:05 AM,4.17497,0,0,0,0,25.6307,1.802001894,25
3/11/2017 8:47:05 AM,4.17497,0,0,0,0,25.64191,1.900995523,25
3/11/2017 8:47:05 AM,4.17497,0,0,0,0,25.64191,1.997001842,25
3/11/2017 8:47:05 AM,4.17497,0,0,0,0,25.6307,2.102996036,25
3/11/2017 8:47:05 AM,4.17497,0,0,0,0,25.6307,2.199002355,25
3/11/2017 8:47:05 AM,4.17497,0,0,0,0,25.6307,2.301999182,25
3/11/2017 8:47:05 AM,4.17497,0,0,0,0,25.6307,2.404000238,25
3/11/2017 8:47:05 AM,4.17497,0,0,0,0,25.6307,2.503999695,25
3/11/2017 8:47:05 AM,4.17497,0,0,0,0,25.6307,2.604994923,25
